name,sector,employees,annual_profit_per_emp_usd,annual_profit_total_usd,annual_rev_to_maryfontaine_usd,gross_margin_pct,value_added_usd
Walgreens,big_retail,330000,18000,5940000000,15000000,22,3300000.0
Amazon,big_tech,1540000,180000,277200000000,35000000,48,16800000.0
Apple,big_tech,164000,650000,106600000000,12000000,46,5520000.0
Microsoft,big_tech,221000,550000,121550000000,3000000,70,2100000.0
Google,big_tech,182000,700000,127400000000,1000000,56,560000.0
Meta,big_tech,67000,650000,43550000000,500000,81,405000.0
NVIDIA,big_tech,30000,2500000,75000000000,500000,75,375000.0
OhioBuildersAssoc,construction_local,2400,55000,132000000,5000000,22,1100000.0
MidwestRoofingCo,construction_local,180,50000,9000000,800000,30,240000.0
D.R. Horton,construction_national,12000,90000,1080000000,2000000,27,540000.0
Lennar,construction_national,11000,100000,1100000000,2000000,25,500000.0
Lockheed Martin,defence,122000,130000,15860000000,50000,11,5500.0
RTX Corp,defence,185000,110000,20350000000,50000,17,8500.0
Coursera,ed_online,1000,280000,280000000,500000,60,300000.0
OnlineUniversityCo,ed_online,3500,180000,630000000,500000,55,275000.0
ExxonMobil,energy,62000,460000,28520000000,12000000,35,4200000.0
Marathon Petroleum,energy,18000,350000,6300000000,11000000,12,1320000.0
Chevron,energy,45000,480000,21600000000,10000000,35,3500000.0
JPMorgan Chase,financial,300000,280000,84000000000,20000000,50,10000000.0
Bank of America,financial,213000,210000,44730000000,15000000,55,8250000.0
Wells Fargo,financial,225000,190000,42750000000,10000000,55,5500000.0
Visa,financial,28000,900000,25200000000,5000000,80,4000000.0
RegionalBankOH,financial,850,140000,119000000,5000000,45,2250000.0
Goldman Sachs,financial,45000,350000,15750000000,4000000,80,3200000.0
Charles Schwab,financial,35000,250000,8750000000,3000000,70,2100000.0
Mastercard,financial,33000,800000,26400000000,3000000,78,2340000.0
StateOfOhio,gov_services,55000,65000,3575000000,8000000,20,1600000.0
FederalServicesCo,gov_services,28000,110000,3080000000,500000,12,60000.0
UnitedHealth,healthcare_insurance,400000,160000,64000000000,30000000,30,9000000.0
AnthemBlue,healthcare_insurance,102000,180000,18360000000,20000000,25,5000000.0
CVS Caremark,healthcare_insurance,94000,140000,13160000000,15000000,18,2700000.0
HCA Healthcare,healthcare_provider,280000,100000,28000000000,30000000,50,15000000.0
OhioHealth,healthcare_provider,30000,85000,2550000000,25000000,50,12500000.0
ClevelandClinic,healthcare_provider,72000,95000,6840000000,20000000,50,10000000.0
Marriott International,hospitality,411000,35000,14385000000,1500000,25,375000.0
Hilton,hospitality,159000,38000,6042000000,1500000,27,405000.0
Airbnb,hospitality,6900,290000,2001000000,800000,80,640000.0
OhioStateInn,hospitality,12,22000,264000,200000,30,60000.0
State Farm,insurance,59000,160000,9440000000,25000000,25,6250000.0
Allstate,insurance,53000,130000,6890000000,15000000,22,3300000.0
Progressive,insurance,57000,280000,15960000000,15000000,18,2700000.0
Nationwide,insurance,24000,140000,3360000000,15000000,25,3750000.0
UPS,logistics,500000,60000,30000000000,5000000,22,1100000.0
FedEx,logistics,530000,70000,37100000000,5000000,22,1100000.0
Uber,logistics,31000,140000,4340000000,4000000,35,1400000.0
XPO Logistics,logistics,40000,55000,2200000000,3000000,17,510000.0
OhioTrucking,logistics,400,45000,18000000,2000000,18,360000.0
Lyft,logistics,3000,85000,255000000,1000000,30,300000.0
Netflix,media,13000,400000,5200000000,2500000,42,1050000.0
Disney,media,225000,220000,49500000000,1500000,35,525000.0
Spotify,media,9000,180000,1620000000,1000000,28,280000.0
Pfizer,pharma,83000,350000,29050000000,20000000,65,13000000.0
Merck,pharma,71000,320000,22720000000,15000000,73,10950000.0
Johnson & Johnson,pharma,131000,280000,36680000000,10000000,67,6700000.0
Eli Lilly,pharma,43000,480000,20640000000,7000000,79,5530000.0
AbbVie,pharma,50000,400000,20000000000,5000000,70,3500000.0
McDonald's,restaurant_chain,150000,30000,4500000000,12000000,57,6840000.0
Wendy's,restaurant_chain,14000,28000,392000000,4000000,30,1200000.0
Cracker Barrel,restaurant_chain,70000,16000,1120000000,4000000,33,1320000.0
Starbucks,restaurant_chain,381000,22000,8382000000,3600000,30,1080000.0
Chipotle,restaurant_chain,110000,38000,4180000000,3000000,25,750000.0
Subway,restaurant_chain,400000,18000,7200000000,1500000,25,375000.0
Adobe,software,30000,320000,9600000000,1200000,88,1056000.0
Intuit,software,18000,240000,4320000000,1200000,80,960000.0
Salesforce,software,72000,220000,15840000000,300000,75,225000.0
Oracle,software,163000,260000,42380000000,300000,72,216000.0
Cisco,telecom_equip,85000,280000,23800000000,100000,64,64000.0
Qualcomm,telecom_equip,51000,550000,28050000000,100000,56,56000.0
MidwestSteelWorks,traditional_mfg,420,80000,33600000,1500000,20,300000.0
OhioFabricationCo,traditional_mfg,180,70000,12600000,1000000,20,200000.0
Caterpillar,traditional_mfg,113000,100000,11300000000,500000,33,165000.0
Deere & Company,traditional_mfg,83000,130000,10790000000,500000,35,175000.0
AEP Ohio,utility,18000,240000,4320000000,20000000,35,7000000.0
Comcast,utility,186000,240000,44640000000,15000000,65,9750000.0
Columbia Gas,utility,9000,280000,2520000000,14000000,35,4900000.0
Verizon,utility,117000,280000,32760000000,10000000,60,6000000.0
AT&T,utility,149000,250000,37250000000,10000000,55,5500000.0
Duke Energy,utility,27000,220000,5940000000,5000000,40,2000000.0
