name,sector,employees,profit_per_emp_usd,annual_rev_to_maryfontaine_usd,gross_margin_pct,value_added_usd,mpc_rate_pct,annual_mpc_usd
Charles Schwab,financial,35000,250000,3000000,70,2100000.0,195.22,4099595.0
AT&T,utility,149000,250000,10000000,55,5500000.0,195.22,10737034.0
AEP Ohio,utility,18000,240000,20000000,35,7000000.0,187.41,13118703.0
Comcast,utility,186000,240000,15000000,65,9750000.0,187.41,18272479.0
Intuit,software,18000,240000,1200000,80,960000.0,187.41,1799136.0
Duke Energy,utility,27000,220000,5000000,40,2000000.0,171.79,3435851.0
Disney,media,225000,220000,1500000,35,525000.0,171.79,901911.0
Salesforce,software,72000,220000,300000,75,225000.0,171.79,386533.0
Bank of America,financial,213000,210000,15000000,55,8250000.0,163.98,13528662.0
RoboticsCorp,automated_mfg,8000,200000,1000000,40,400000.0,156.18,624700.0
Wells Fargo,financial,225000,190000,10000000,55,5500000.0,148.37,8160146.0
Amazon,big_tech,1540000,180000,35000000,48,16800000.0,140.56,23613665.0
AnthemBlue,healthcare_insurance,102000,180000,20000000,25,5000000.0,140.56,7027877.0
Spotify,media,9000,180000,1000000,28,280000.0,140.56,393561.0
OnlineUniversityCo,ed_online,3500,180000,500000,55,275000.0,140.56,386533.0
UnitedHealth,healthcare_insurance,400000,160000,30000000,30,9000000.0,124.94,11244602.0
State Farm,insurance,59000,160000,25000000,25,6250000.0,124.94,7808752.0
Tesla,automated_mfg,140000,150000,8000000,25,2000000.0,117.13,2342626.0
RegionalBankOH,financial,850,140000,5000000,45,2250000.0,109.32,2459757.0
CVS Caremark,healthcare_insurance,94000,140000,15000000,18,2700000.0,109.32,2951708.0
Uber,logistics,31000,140000,4000000,35,1400000.0,109.32,1530515.0
Nationwide,insurance,24000,140000,15000000,25,3750000.0,109.32,4099595.0
Siemens Industrial,automated_mfg,320000,130000,2000000,35,700000.0,101.51,710596.0
Deere & Company,traditional_mfg,83000,130000,500000,35,175000.0,101.51,177649.0
Allstate,insurance,53000,130000,15000000,22,3300000.0,101.51,3349954.0
Lockheed Martin,defence,122000,130000,50000,11,5500.0,101.51,5583.0
FoxconnUS,automated_mfg,90000,110000,1000000,7,70000.0,85.9,60127.0
Honda Motor Co,auto_mfg,210000,110000,25000000,22,5500000.0,85.9,4724295.0
RTX Corp,defence,185000,110000,50000,17,8500.0,85.9,7301.0
FederalServicesCo,gov_services,28000,110000,500000,12,60000.0,85.9,51538.0
Toyota North America,auto_mfg,48000,100000,15000000,22,3300000.0,78.09,2576888.0
Caterpillar,traditional_mfg,113000,100000,500000,33,165000.0,78.09,128844.0
HCA Healthcare,healthcare_provider,280000,100000,30000000,50,15000000.0,78.09,11713128.0
Lennar,construction_national,11000,100000,2000000,25,500000.0,78.09,390438.0
ClevelandClinic,healthcare_provider,72000,95000,20000000,50,10000000.0,74.18,7418314.0
General Motors,auto_mfg,163000,90000,20000000,19,3800000.0,70.28,2670593.0
D.R. Horton,construction_national,12000,90000,2000000,27,540000.0,70.28,379505.0
Cargill,agriculture,160000,90000,1000000,7,70000.0,70.28,49195.0
Stellantis,auto_mfg,250000,85000,10000000,22,2200000.0,66.37,1460237.0
OhioHealth,healthcare_provider,30000,85000,25000000,50,12500000.0,66.37,8296799.0
Lyft,logistics,3000,85000,1000000,30,300000.0,66.37,199123.0
ADM (Archer Daniels Midland),agriculture,42000,85000,500000,8,40000.0,66.37,26550.0
Ford,auto_mfg,176000,80000,20000000,18,3600000.0,62.47,2248920.0
MidwestSteelWorks,traditional_mfg,420,80000,1500000,20,300000.0,62.47,187410.0
OhioFabricationCo,traditional_mfg,180,70000,1000000,20,200000.0,54.66,109323.0
FedEx,logistics,530000,70000,5000000,22,1100000.0,54.66,601274.0
StateOfOhio,gov_services,55000,65000,8000000,20,1600000.0,50.76,812110.0
UPS,logistics,500000,60000,5000000,22,1100000.0,46.85,515378.0
OhioBuildersAssoc,construction_local,2400,55000,5000000,22,1100000.0,42.95,472429.0
XPO Logistics,logistics,40000,55000,3000000,17,510000.0,42.95,219035.0
HomeDepot,big_retail,465000,50000,50000000,33,16500000.0,39.04,6442220.0
MidwestRoofingCo,construction_local,180,50000,800000,30,240000.0,39.04,93705.0
Costco,big_retail,316000,45000,25000000,13,3250000.0,35.14,1142030.0
OhioTrucking,logistics,400,45000,2000000,18,360000.0,35.14,126502.0
OhioFarmersUnion,agriculture_local,2200,45000,500000,12,60000.0,35.14,21084.0
Lowe's,big_retail,300000,40000,35000000,33,11550000.0,31.24,3607643.0
Chipotle,restaurant_chain,110000,38000,3000000,25,750000.0,29.67,222549.0
Hilton,hospitality,159000,38000,1500000,27,405000.0,29.67,120177.0
Marriott International,hospitality,411000,35000,1500000,25,375000.0,27.33,102490.0
McDonald's,restaurant_chain,150000,30000,12000000,57,6840000.0,23.43,1602356.0
Best Buy,big_retail,90000,28000,20000000,23,4600000.0,21.86,1005767.0
Wendy's,restaurant_chain,14000,28000,4000000,30,1200000.0,21.86,262374.0
Target,big_retail,440000,25000,50000000,28,14000000.0,19.52,2733063.0
CVS Pharmacy,big_retail,300000,22000,20000000,19,3800000.0,17.18,652812.0
Starbucks,restaurant_chain,381000,22000,3600000,30,1080000.0,17.18,185536.0
OhioStateInn,hospitality,12,22000,200000,30,60000.0,17.18,10308.0
Kroger,big_retail,420000,20000,70000000,22,15400000.0,15.62,2405096.0
Walmart,big_retail,2100000,18000,100000000,25,25000000.0,14.06,3513938.0
Walgreens,big_retail,330000,18000,15000000,22,3300000.0,14.06,463840.0
Subway,restaurant_chain,400000,18000,1500000,25,375000.0,14.06,52709.0
Cracker Barrel,restaurant_chain,70000,16000,4000000,33,1320000.0,12.49,164921.0
